Parameters: 4472502
Epoch	Kappa (val)	IoU (val)	F1 (train)	F1 (val)	R (val)	P (val)
1		0.6708		0.5158		0.5973		0.6805		0.7014		0.6609
2		0.6759		0.5208		0.6486		0.6849		0.6585		0.7134
3		0.6888		0.5350		0.6751		0.6971		0.6499		0.7516
4		0.7113		0.5617		0.7025		0.7194		0.7001		0.7397
5		0.7075		0.5569		0.7117		0.7154		0.6728		0.7637
6		0.7149		0.5668		0.7307		0.7235		0.7584		0.6917
7		0.7369		0.5926		0.7358		0.7442		0.7209		0.7691
8		0.7215		0.5741		0.7399		0.7294		0.7221		0.7369
9		0.7387		0.5948		0.7526		0.7460		0.7207		0.7731
10		0.7417		0.5988		0.7580		0.7491		0.7410		0.7573
11		0.7355		0.5912		0.7610		0.7431		0.7319		0.7546
12		0.7577		0.6189		0.7643		0.7646		0.7526		0.7770
13		0.7511		0.6107		0.7712		0.7583		0.7666		0.7502
14		0.7282		0.5822		0.7791		0.7359		0.7198		0.7527
15		0.7465		0.6050		0.7881		0.7539		0.7656		0.7426
16		0.7458		0.6043		0.7856		0.7534		0.7781		0.7302
17		0.7629		0.6259		0.7832		0.7699		0.7817		0.7585
18		0.7634		0.6263		0.7933		0.7702		0.7674		0.7731
19		0.7555		0.6159		0.7938		0.7623		0.7304		0.7970
20		0.7704		0.6354		0.7977		0.7771		0.7844		0.7700
21		0.7685		0.6329		0.7958		0.7752		0.7786		0.7719
22		0.7622		0.6252		0.8017		0.7694		0.8073		0.7349
23		0.7763		0.6429		0.8060		0.7827		0.7702		0.7955
24		0.7641		0.6268		0.8078		0.7706		0.7338		0.8112
25		0.7799		0.6478		0.8164		0.7862		0.7791		0.7935
26		0.7758		0.6423		0.8072		0.7822		0.7752		0.7893
27		0.7641		0.6270		0.8194		0.7707		0.7523		0.7900
28		0.7693		0.6333		0.8154		0.7755		0.7205		0.8395
29		0.7674		0.6311		0.8148		0.7738		0.7459		0.8039
30		0.7757		0.6424		0.8249		0.7822		0.7902		0.7744
31		0.7657		0.6291		0.8297		0.7723		0.7603		0.7848
32		0.7740		0.6400		0.8260		0.7805		0.7801		0.7809
33		0.7761		0.6427		0.8309		0.7825		0.7793		0.7857
34		0.7698		0.6348		0.8261		0.7766		0.7957		0.7584
35		0.7621		0.6240		0.8329		0.7685		0.7214		0.8222
36		0.7779		0.6450		0.8312		0.7842		0.7696		0.7994
37		0.7682		0.6328		0.8335		0.7751		0.7958		0.7555
38		0.7710		0.6359		0.8371		0.7775		0.7652		0.7901
39		0.7626		0.6255		0.8367		0.7696		0.7929		0.7476
40		0.7711		0.6357		0.8384		0.7773		0.7350		0.8247
41		0.7806		0.6486		0.8465		0.7868		0.7704		0.8039
42		0.7792		0.6465		0.8413		0.7853		0.7559		0.8171
43		0.7669		0.6301		0.8436		0.7731		0.7212		0.8331
44		0.7814		0.6499		0.8470		0.7878		0.7992		0.7767
45		0.7671		0.6305		0.8482		0.7733		0.7229		0.8314
46		0.7845		0.6536		0.8489		0.7905		0.7665		0.8161
47		0.7839		0.6531		0.8464		0.7901		0.7901		0.7902
48		0.7809		0.6488		0.8521		0.7870		0.7524		0.8248
